KazanJS 6,"Друзья, весенний KazanJS пройдет 1 марта в штабе в 19 часовКирилл Мокевнин, CTO Hextlet: Расскажет какие инженерные практики, оказывают наибольшее влияние на качество кода, скорость разработки и получение удовольствия от процесса. Даст рекомендации по профессиональному росту, как становится лучше и что для этого изучать.Дамир Камильянов и Артур Мирзин, Ак Барс Цифровые Технологии: Функциональное программирование в веб разработке: зачем и почему?- Жизнь до ФП подхода, проблемы и их решение- Жизнь с ФП, какие проблемы решает ФП, какие вносит- Практическое применение и современная реализация в веб разработкеАльберт Фазуллин, Flatstack - Погрузитесь в увлекательный мир UI тестирования в вебе. Разберет какие есть виды тестирования интерфейсов, сравнит популярные фреймворки и попробует разные подходы к тестированию.",1.03.2019,19:00 - 21:00 GMT+3,,https://www.meetup.com/ru-RU/KazanJS/events/259356150/
DevOps Meetup,"Возвращаемся после летнего перерыва с DevOps Meetup!Cпикеры:1. Рустам Ахметгалиев (Provectus)Тема: Зачем спринты Ops команде2. Юрий Кербицков (Ак барс Цифровые Технологии)Тема: Жил-был документРегистрация: http://expertfridays.com/meetups/devops-meetup-4/Пиво, пиццу и хорошее настроение гарантируем))",27.09.2019,19:00 - 21:00 GMT+3,"ШТАБ: Резиденция креативных индустрийул. Татарстан, 20 · Казань",https://www.meetup.com/ru-RU/Kazan-Expert-Fridays-Meetups/events/264790988/
Future Tech+ Finance Summit 2020,"Future Tech + Finance Summit 2020 - gives presents!On March 12, 2020 an international summit on the development of new financial markets, regulation, exchange liquidity and new investment areas will host in Moscow. The summit program will comprehensively reflect all relevant aspects of the development of the international finance market, technologies and startups in 2020. The speakers and partners of the summit are active market participants: the educational platform TO THE MOON, exchange liquidity provider Apifiny and crypto-processing Embily.Good news is that FTFS gives presents! Anyone can register on the page with the announced lots and leave a request, a decision will be made within two days. Lots are constantly replenished, there are meetings with speakers and a ticket to Paris for PWBSummit among them!FTFS is an international event that will bring together leaders of blockchain and finance market. The main task is to develop cooperation between participants, attract private and corporate capital in the field of new technologies. You can find more information about the program and participants on the website.Tickets can be purchased at a 80% discount thanks to TOTHEMOON partner (copy the promotional code and enter it when buying tickets).Specialized media, bloggers and authors of popular Telegram channels, professional investors, capital owners, bankers, entrepreneurs and active market participants working with blockchain technology are Among the forum participants.Event sponsors are:APINIFY is a distributed trading network that provides liquidity to exchanges, brokers/dealers.TO THE MOON PLATFORM - the first crypto-educational platform on the blockchain.FORUM WEBSITE: http://futuretechfinancesummit.orgCONTACTS:• for speakers&partners:Olga DvoretskayaEmail: dvoretskaya@cshp.сlubTelegram: @cryptoshark• for media partners:Tatyana MaksimenkoEmail: [masked]Telegram: @tattymax• for speakers & sponsors:Nikita VassyovEmail: [masked]Telegram: @nvassev• for media:Natalya ShustovaEmail: [masked]Telegram: @shustovanatalya",12.03.2020,10:00 - 17:00 GMT+3,Di TelegraphTverskaya St 7 · Moscow,https://www.meetup.com/ru-RU/Kazan-Blockchain-Meetup-Group/events/269000520/
Elixir MeetUp,"• What we'll doДрузья, рады открыть регистрацию на первый в этом году митап Expert Fridays!Мы решили начать с Elixir MeetUp, это будет первая встреча, посвященная данному языку программирования. Как всегда, мы обещаем интересные доклады, холивары, вкусную пиццу и крафтовое пиво! Будем рады видеть не только поклонников, но и противников Elixir! Давайте вместе делиться опытом по работе с сервисами и приложениями на базе Elixir!Организатор: компания ProvectusСпикеры:Николай Сверчков (Evil Martians) - Из Ruby в Elixir (и обратно): прагматичный взглядНикита Соболев (Wemake.services) - Ecto: просто о сложномХочешь поделиться опытом и интересными кейсами из практики?Заходи на сайт expertfridays.com и оставляй заявку в разделе “Хочу стать экспертом”http://expertfridays.com/meetups/elixir-meetup/Когда ждать Elixir MeetUp?2 марта 2018, в 19:00Вход свободный, регистрация уже открыта и обязательна для всех!http://expertfridays.com/meetups/elixir-meetup/Место встречи - Казань, ШТАБ, ул.Татарстан, 20За дополнительной информацией обращайся:Татьяна КовалеваE-mail: [masked]Skype: tkovaleva.1Тел: +7 (927)[masked]• What to bring• Important to know",2.03.2018,19:00 - 22:00 GMT+3,"ШТАБ: Резиденция креативных индустрийул. Татарстан, 20 · Казань",https://www.meetup.com/ru-RU/Kazan-Expert-Fridays-Meetups/events/247504838/
KazanJS 9,"KazanJS 9 пройдет 12 декабря в 19:00 в Штабе, ул Татарстан 20. Вход свободный⁃ Владимир Гриненко, Яндекс - История развития фронтенда в Яндексе за 10 лет⁃ Марат Фахреев, Revealbot - Vue.js - мои впечатления после года в продакшне⁃ Антон Заладинов, Аквелон - PWA: двигатель веба и бизнеса",12.12.2019,19:00 - 21:00 GMT+3,"ShtabUlitsa Tatarstan, 20А · Казань",https://www.meetup.com/ru-RU/KazanJS/events/266946654/
KazanJS 7,"Андрей Ситник, Злые Марсиане - Продвижение опенсорс-проектовСергей Савельев, Yandex - Как пройти собеседование в ЯндексРамиль Закиров, Diginavis - TypeScript на ультрахОлеся Лазарева, ICL - Популярные алгоритмы на JS",16.05.2019,19:00 - 22:00 GMT+3,"ShtabUlitsa Tatarstan, 20А · Казань",https://www.meetup.com/ru-RU/KazanJS/events/261107941/
Data Science Meetup,"• What we'll doJoin us at Data Science Meetup. We have prepared several reports, will be interesting and useful!▶ Speech #1Rustem Galiullin: Scrum at Data Science1. How to deliver a model within 2 weeks using machine learning cycle?2. User story decomposition by CRISP-DM3. Sprint review is a vital part to improve code readability and knowledge exchange among data scientists4. Sprint is a time boundary for model development5. Product backlog and sprints are the way to increase your value for other divisions▶ Speech #2Bulat Lutfullin: ML for content generation. How to generate a level for Hotline Miami 21. Pure random is still used in gamedev, while ML is able to generate tons of content2. What is a genetic algorithm? how can it be applied for level generation?3. Are there other machine learning methods for content generation?4. Do we really need ML in gamedev?▶ Speech #3Rinat Gareev: Scammer Detection on Crowdsourcing PlatformsMicrotask crowdsourcing is a trade-off between budget, speed of getting results and their quality. It is a popular approach to quickly build a training dataset for machine learning. There are standard quality assurance mechanics on crowdsourcing platforms but they still might leave an opportunity for scamming. In this presentation I will talk about our experience in improving scammer detection, how to estimate fairness and proficiency of contributors using unsupervised machine learning models✔ Language: RussianWhen?March, 18, 10:30 amFree admission, registration is required!Waiting for you in coworking GrowUp, Aivazovsky Str. 3aStill have questions? Write me!Tatyana KovalevaE-mail: [masked]Skype: tkovaleva.1Tel: +7 (927)[masked] (telegram)• What to bring• Important to know",18.03.2018,10:30 - 13:30 GMT+3,"Коворкинг ""Grow UP""ул. Айвазовского 3а · Казань",https://www.meetup.com/ru-RU/TechBar-Data-Science-Meetups/events/248217979/
TerraCrypto Kazakhstan Digital Mining and Cryptocurrencies: Trends 2020,"A forum on digital cryptocurrency mining will be held in Nur Sultan (Republic of Kazakhstan) on November 14, 2019.The TerraCrypto forum, well-known among the blockchain community, will come to Kazakhstan for the first time. The traditional values that the organizers broadcast in Moscow will be clearly represented in Nur-Sultan: internationality, openness and discussions, competing companies in the exhibition area, a real community that doesn’tend even after the end of the forum.Starting at 9 a.m., you will be able to consider mining and trading under enlarged glass in Rixos President Hotel. Stefan Rust (Bitcoin.com), Thomas Heller (F2Pool), Dong Yan (Matrixport), Gapparov Bekhzod (Okschain), Alexander Kalmykov (Gazpromneft), Yulia Fetisova (BITMAIN), Gleb Kostarev (Binance), Evgeny Galiakhmetov (Altergate ^) and other active market participants working with blockchain technology right now will fly to Nur Sultan to speak at TerraCrypto.At 20:00, dinner will be held with speakers for guests who have bought a VIP ticket. We will consider platforms for equipment placement; discuss the equipment itself; we’ll think about where to reinvest income, how to increase income through trading and how to work legally in the framework of the laws of the Republic of Kazakhstan, the Republic of Uzbekistan and the Russian Federation.TOP SPEAKERS:- Alex Ao co-founder INNOSILICON- Thomas Heller (F2Pool);- Dong Yan (Matrixport);- Edward Lu (SVP of Canaan)- Vincent Zhang (Global Sales Director Whatsminer)- Ryan Xu (Co-founder ViaBTC)Key issues of the forum:Industrial Mining. Home Mining. Equipment (old proven devices and newdevices). Mining Pools. Firmware (original and new). Repairs. What can be mined ""at home""? How and where to store all you’ve mined? Legal aspects of currency production in the Republic of Kazakhstan, the Republic of Uzbekistan, the Russian Federation. Return on investment in cryptocurrency mining. Currency exchange for fiat money in different jurisdictions of the world. How much does digital mining entrancecost now? Prospects of the Kazakhstan market in digital mining. Where to buy white equipment? How to check the equipment when buying? Is work with used device economically viable? How to choose a hosting for your equipment? How to pay taxes on extracted crypto assets?Reinvestment of income. Trading. Bidding strategies. How to build your growing asset portfolio? Cryptocurrency exchanges: security, trust, liquidity. How to make money on ICO/TSO/IEO? Where are the 2018’s Xs now? Black Swans Investment 2020. How to balance the investment portfolio? Index investments: how does a fiat financial instrument work in the digital world? Prospects for the Kazakhstan market. What isimportant for the investor (a round table on how the investor looks at the objects in which he invests)?Partner contact person:Nikita Vassyov | co-founder of Six Touches TeamPhone: [masked]Telegram: @NVassevEmail: [masked]Speaker contact:Ilya Ogurtsov | co-founder of Six Touches TeamPhone: [masked]Telegram: @o_ilyaEmail: [masked]Website: http://terracrypto.icuFb: @sixtouchesInsta: @terra_crypto",14.11.2019,09:00 - 19:30 GMT+3,Nur-Sultan · Nur-Sultan,https://www.meetup.com/ru-RU/Kazan-Blockchain-Meetup-Group/events/265929480/
TerraCrypto Moscow: Trends 2020,"On December 7, 2019, Moscow will host the final crypto event of this year - the Vth international forum of crypto currencies and digital mining.In the morning at the Art Moscow Hotel Voikovskaya we will discuss the development of the mining market and problems that should be solved jointly. Ryan Xu (ViaBTC Marketing Director), Fedor Egorov (Technical Director of Baikal Data Center LLC), Alexander Kalmykov (Head of Blockchain Technology Center, ITSK LLC, Gazpromneft PJSC), Alexey Trashcheev (Director of Sintez group company) and other active market participants working with blockchain technology today will fly to Moscow to speak at TerraCrypto.Forum partners: ViaBTC, SUEX, AmirCapital, ENEGIX, Leominig, BITMAIN, Binance.Unlike previous TC forums, there will be an additional room for considering trading at the V TERRACRYPTO forum. We will discuss which strategies work, which robots can actually make a profit, and which ones can cause a loss.There will also be a separate panel discussion with representatives of the largest exchanges, not only related to cryptocurrency, but also the traditional financial market. As a result of joint communication, we will try to identify promising algorithms and tools in the field of trading.Nikita Vassev, co-organizer of the TerraCrypto forum: «The forum in Moscow on December 7 is already a good and good tradition to get together the community and to sum up the 2019: Where is the industry going? What will happen after halving? How to work in the market? Where can I earn now? We expect about 430 participants who appreciate the format of specialized events in the cryptocurrency industry.»The forum is organized by SixTouches Team (6TT). Since 2018, there are 19 implemented business events, forums and conferences in Russia and the CIS countries on the account of 6TT. The central office is located in Kazan.Key forum questions:What will happen to mining after halving? Will it be possible to earn for home miners? What coins bring more profit to miners? We will discuss plans for 2020, halving, new blockchains, we will discuss new legal subtleties that will be introduced in 20 in different countries of the CIS and the world, we will talk about up-to-date equipment, about the appearance of large platforms with clear and transparent rules of the game, about creating a global Mining Map, about math of mining after halving, and much more!Forum site: https://terracrypto.icu/russiaFacebook: @sixtouchesInstagram: @terra_cryptoTwitter: @ terracrypto3Media Contact:Natalya Shustova | PR specialist Telegram: @shustovanatalya Email: [masked]Contact for partners:Nikita Vassev | co-founder of SixTouches Team Telegram: @NVassevEmail: [masked]Contact for speakers :Ilya Ogurtsov | co-founder of SixTouches Team Telegram: @O_ILYAEmail: [masked]",7.12.2019,09:00 - 19:00 GMT+3,Арт Москва ВойковскаяКосмонавта Волкова 6а · Москва,https://www.meetup.com/ru-RU/Kazan-Blockchain-Meetup-Group/events/266665813/
Scala MeetUp,"Пришло время собраться Scala-тусовкой на Expert Fridays!Это первый Scala MeetUp в Казани! Посмотрим, сколько у нас скалистов ;)Краткий обзор экспертов:🔥 Вадим Челышов, Scala Engineer : Все ненавидят SBT🔥 Алексей Фомкин, Scala Enthusiast : Воркшоп по «Королёву»Хочешь поделиться опытом и интересными кейсами из практики?Заходи на сайт expertfridays.com и оставляй заявку в разделе “Хочу стать экспертом”",13.04.2018,19:00 - 22:00 GMT+3,"ШТАБ: Резиденция креативных индустрийул. Татарстан, 20 · Казань",https://www.meetup.com/ru-RU/Kazan-Expert-Fridays-Meetups/events/249344892/
