Безопасность данных в мобильных приложениях и сколько она стоит - мастер-класс программиста из Mail.ru Group / События на TimePad.ru,"Мобильные технологии стали очень популярными. Мы привыкли совершать различные финансовые операции в мобильных приложениях. Однако у этого есть и обратная сторона. Все чаще из сводок новостей мы слышим о новых попытках взлома систем банковского обслуживания, происходят кражи паролей в мобильных приложениях. Существуют десятки различных схем «мобильного обмана». Злоумышленники очень изобретательны. А честные разработчики ведут с ними своеобразную борьбу, придумывая новые способы, как обезопасить работу приложений. О них и пойдет речь на мастер-классе Ольги Шкряба, программиста Mail.ru Group Geekbrains, который состоится в Бизнес-инкубаторе ИТ-парка 10 марта.",10.03.2018,15:00 - 17:00,"Машиностроительная, 91",https://tehnopark-v-sfere-vysokih.timepad.ru/event/679166/
Конференция Tech-почмак в ИТ-парке / События на TimePad.ru,"25 августа в честь шестилетия ИТ-парка Бизнес-инкубатор приглашает всех желающих на открытую конференцию &quot;Tech-почмак&quot;, в рамках которой состоится 30-й юбилейный отбор новых резидентов.",25.08.2018,10:00 - 20:00,"Машиностроительная, 91",https://tehnopark-v-sfere-vysokih.timepad.ru/event/770285/
Бизнес с нуля: курсы по технологическому предпринимательству для старшеклассников / События на TimePad.ru,В фокусе ИТ-Академии ИТ-парка теперь детские стартапы. На весенних каникулах здесь научат школьников зарабатывать деньги при помощи технологий.,с 15:00 2020,30 - 2018,"Машиностроительная, 91",https://tehnopark-v-sfere-vysokih.timepad.ru/event/685998/
Каналы продаж - что нужно знать на старте? Мастер-класс Вячеслава Федосеева. / События на TimePad.ru,"17 ноября в ИТ-парке Набережных Челнов выступит Вячеслав Федосеев, основатель компании D-N.Group. Он расскажет, как стартапу настроить эффективные каналы продаж, сформулировать идеальное ценовое предложение и сегментировать целевую аудиторию.",17.11.2018,14:30 - 15:30,"Машиностроительная, 91",https://tehnopark-v-sfere-vysokih.timepad.ru/event/849422/
Мастер-класс по продвижению аккаунта в социальных сетях / События на TimePad.ru,"Профессиональные PR-директора республиканских Start-Up проектов в двух местах, в одно время!",26.12.2017,17:30 - 19:30,МЦ НУР: 1/02 МЦ ШАТЛЫК: 17/14,https://fink-studio.timepad.ru/event/628211/
AngelHack Innopolis / События на TimePad.ru,2 и 3 апреля 2016 в Иннополисе сообщество мобильных разработчиков Apps4All проведет российский этап крупнейшего в мире хакатона – AngelHack Innopolis.,с 10:00 2020,3 - 2016,"г. Иннополис, ул. Университетская, д. 1",https://apps4all.timepad.ru/event/312266/
Three Amigos Talk - Kanban / События на TimePad.ru,"Амигос на связи! Все предыдущие встречи серии так или иначе основывались на методиках и практиках Scrum, но при этом было очень мало сказано про Kanban. В Ак Барс Цифровые Технологии есть ряд сервисных команд, придерживающихся этой методологии и нам есть, что об этом рассказать! Для того, чтобы максимально широко рассмотреть практики применения Kanban мы пригласили Пименова Алексея — первого российского специалиста уровня Accredited Kanban Consultant.",15.06.2020,18:00 - 21:00,"ул. Галиаскара Камала, 41",https://abct.timepad.ru/event/1284144/
Android development meetup / События на TimePad.ru,"Мы приглашаем вас на Android development meetup, который мы проводим совместно с GDG Kazan. В программе &#151; общение, расширение кругозора и хорошее настроение. Несколько докладов о разработке под андроид, круглый стол о новостях с Google IO и изменениях последних версий Android OS.",27.06.2019,19:00 - 21:00,"ул. Галиаскара Камала, 41 (Центр развития талантов Ак Барс Банка)",https://abct.timepad.ru/event/1006525/
Three Amigos Talk 3.0 / События на TimePad.ru,"Третий митап, посвященный гибким методологиям разработки. С каждым мероприятием мы становимся опытнее! В этот раз, по просьбам трудящихся, будет больше живого общения и интерактива с гостями в сочетании с докладами опытных скрам-мастеров!",15.02.2020,14:00 - 17:30,"улица Университетская, дом 7, Технопарк им. А. С. Попова",https://abct.timepad.ru/event/1246150/
Three Amigos Talk,"Второй митап, посвященный гибким методологиям разработки. Скрам-мастера из Ak Bars Digital поделятся своим опытом, ответят на все насущные вопросы и расскажут об удачных и неудачных практиках внедрения Agile.",5.12.2019,18:00 - 21:00,"Казань ул. Галиаскара Камала, 41",https://abct.timepad.ru/event/1125908/
